season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,year,month,day,hour,dayofweek
1,0,0,1,-1.3336606929832286,-1.0927369691094824,0.9932130543750465,-1.5677536666631693,16,2011,1,1,0,5
1,0,0,1,-1.4389072064763992,-1.182420830700571,0.9412492089868273,-1.5677536666631693,40,2011,1,1,1,5
1,0,0,1,-1.4389072064763992,-1.182420830700571,0.9412492089868273,-1.5677536666631693,32,2011,1,1,2,5
1,0,0,1,-1.3336606929832286,-1.0927369691094824,0.6814299820457317,-1.5677536666631693,13,2011,1,1,3,5
1,0,0,1,-1.3336606929832286,-1.0927369691094824,0.6814299820457317,-1.5677536666631693,1,2011,1,1,4,5
1,0,0,2,-1.3336606929832286,-1.271514666886455,0.6814299820457317,-0.8324424654320689,1,2011,1,1,5,5
1,0,0,1,-1.4389072064763992,-1.182420830700571,0.9412492089868273,-1.5677536666631693,2,2011,1,1,6,5
1,0,0,1,-1.54415371996957,-1.271514666886455,1.253032281316142,-1.5677536666631693,3,2011,1,1,7,5
1,0,0,1,-1.3336606929832286,-1.0927369691094824,0.6814299820457317,-1.5677536666631693,8,2011,1,1,8,5
1,0,0,1,-0.9126746390105459,-0.7351815735555368,0.7333938274339508,-1.5677536666631693,14,2011,1,1,9,5
1,0,0,1,-0.5969350985310338,-0.46731003959268014,0.7333938274339508,0.5142603037869447,36,2011,1,1,10,5
1,0,0,1,-0.7021816120242045,-0.8248654351466257,0.9932130543750465,0.7596375908049122,56,2011,1,1,11,5
1,0,0,1,-0.38644207154469257,-0.28853234181570736,0.78535767282217,0.7596375908049122,84,2011,1,1,12,5
1,0,0,2,-0.17594904455835111,-0.10975464403873461,0.5255384458810742,0.8819159044024949,94,2011,1,1,13,5
1,0,0,2,-0.17594904455835111,-0.10975464403873461,0.5255384458810742,0.7596375908049122,106,2011,1,1,14,5
1,0,0,2,-0.28119555805152185,-0.198848480224619,0.78535767282217,0.8819159044024949,110,2011,1,1,15,5
1,0,0,2,-0.38644207154469257,-0.28853234181570736,1.0451768997632656,0.8819159044024949,93,2011,1,1,16,5
1,0,0,2,-0.28119555805152185,-0.198848480224619,1.0451768997632656,0.7596375908049122,67,2011,1,1,17,5
1,0,0,3,-0.38644207154469257,-0.28853234181570736,1.3569599720925802,0.5142603037869447,35,2011,1,1,18,5
1,0,0,3,-0.38644207154469257,-0.28853234181570736,1.3569599720925802,0.5142603037869447,37,2011,1,1,19,5
1,0,0,2,-0.4916885850378633,-0.37762617800159176,1.3049961267043613,0.5142603037869447,36,2011,1,1,20,5
1,0,0,2,-0.4916885850378633,-0.37762617800159176,1.3049961267043613,0.024326389573811554,34,2011,1,1,21,5
1,0,0,2,-0.4916885850378633,-0.37762617800159176,1.6687430444218951,0.2697036765917794,28,2011,1,1,22,5
1,0,0,2,-0.17594904455835111,-0.10975464403873461,1.3569599720925802,0.8819159044024949,39,2011,1,1,23,5
1,0,0,2,-0.17594904455835111,-0.10975464403873461,1.3569599720925802,0.8819159044024949,17,2011,1,2,0,6
1,0,0,2,-0.28119555805152185,-0.198848480224619,1.6687430444218951,0.5142603037869447,17,2011,1,2,1,6
1,0,0,2,-0.38644207154469257,-0.28853234181570736,1.9805261167512098,0.7596375908049122,9,2011,1,2,2,6
1,0,0,2,-0.17594904455835111,-0.10975464403873461,1.6687430444218951,0.024326389573811554,6,2011,1,2,3,6
1,0,0,2,-0.17594904455835111,-0.10975464403873461,1.6687430444218951,0.024326389573811554,3,2011,1,2,4,6
1,0,0,3,-0.38644207154469257,-0.28853234181570736,0.78535767282217,0.8819159044024949,2,2011,1,2,6,6
1,0,0,2,-0.4916885850378633,-0.37762617800159176,0.7333938274339508,0.024326389573811554,1,2011,1,2,7,6
1,0,0,3,-0.4916885850378633,-0.37762617800159176,0.47357460049285516,0.2697036765917794,8,2011,1,2,8,6
1,0,0,2,-0.5969350985310338,-0.46731003959268014,0.7333938274339508,0.2697036765917794,20,2011,1,2,9,6
1,0,0,2,-0.7021816120242045,-0.7351815735555368,0.9932130543750465,0.2697036765917794,53,2011,1,2,10,6
1,0,0,2,-0.7021816120242045,-0.8248654351466257,0.47357460049285516,0.5142603037869447,70,2011,1,2,11,6
1,0,0,2,-0.7021816120242045,-0.8248654351466257,0.2137553735517595,0.8819159044024949,93,2011,1,2,12,6
1,0,0,2,-0.7021816120242045,-0.7351815735555368,0.2137553735517595,-0.4656075246393211,75,2011,1,2,13,6
1,0,0,3,-0.7021816120242045,-0.7351815735555368,0.7333938274339508,0.024326389573811554,59,2011,1,2,14,6
1,0,0,3,-0.8074281255173752,-0.8248654351466257,0.9932130543750465,-0.22023023762135344,74,2011,1,2,15,6
1,0,0,3,-0.8074281255173752,-0.8248654351466257,0.47357460049285516,-0.22023023762135344,76,2011,1,2,16,6
1,0,0,1,-0.8074281255173752,-0.8248654351466257,-0.2539192349422127,0.024326389573811554,65,2011,1,2,17,6
1,0,0,2,-0.7021816120242045,-0.8248654351466257,-0.8255215342126231,1.1272931914204625,53,2011,1,2,18,6
1,0,0,1,-0.9126746390105459,-1.0927369691094824,-1.0333769157654995,2.1071610198467283,30,2011,1,2,19,6
1,0,0,1,-1.0179211525037164,-1.182420830700571,-1.189268451930157,1.3718498186156276,22,2011,1,2,20,6
1,0,0,1,-1.2284141794900578,-1.4502923646634276,-0.9294492249890614,1.1272931914204625,31,2011,1,2,21,6
1,0,0,1,-1.3336606929832286,-1.5399762262545162,-0.9294492249890614,0.8819159044024949,9,2011,1,2,22,6
1,0,0,1,-1.4389072064763992,-1.4502923646634276,-0.773557688824404,-0.22023023762135344,8,2011,1,2,23,6
1,0,1,1,-1.4389072064763992,-1.6290700624404004,-0.9294492249890614,1.3718498186156276,5,2011,1,3,0,0
1,0,1,1,-1.54415371996957,-1.807847760217373,-0.9294492249890614,1.8617837328287605,2,2011,1,3,1,0
1,0,1,1,-1.7546467469559115,-1.9866254579943459,-0.773557688824404,1.6172271056335954,1,2011,1,3,4,0
1,0,1,1,-1.7546467469559115,-1.9866254579943459,-0.773557688824404,0.7596375908049122,3,2011,1,3,5,0
1,0,1,1,-1.859893260449082,-2.1654031557713185,-0.6176661526597466,1.6172271056335954,30,2011,1,3,6,0
1,0,1,1,-1.859893260449082,-1.9866254579943459,-0.6176661526597466,0.024326389573811554,64,2011,1,3,7,0
1,0,1,1,-1.859893260449082,-2.0763093195854347,-0.6176661526597466,0.7596375908049122,154,2011,1,3,8,0
1,0,1,1,-1.7546467469559115,-1.9866254579943459,-0.9814130703772805,1.6172271056335954,88,2011,1,3,9,0
1,0,1,1,-1.6494002334627407,-1.807847760217373,-0.9814130703772805,0.5142603037869447,44,2011,1,3,10,0
1,0,1,1,-1.54415371996957,-1.718753924031489,-1.1373046065419379,1.1272931914204625,51,2011,1,3,11,0
1,0,1,1,-1.4389072064763992,-1.5399762262545162,-1.3971238334830336,0.8819159044024949,61,2011,1,3,12,0
1,0,1,1,-1.3336606929832286,-1.5399762262545162,-1.3971238334830336,0.7596375908049122,61,2011,1,3,13,0
1,0,1,1,-1.2284141794900578,-1.3611985284775436,-1.656943060424129,0.7596375908049122,77,2011,1,3,14,0
1,0,1,1,-1.2284141794900578,-1.3611985284775436,-1.656943060424129,0.5142603037869447,72,2011,1,3,15,0
1,0,1,1,-1.2284141794900578,-1.3611985284775436,-1.656943060424129,0.5142603037869447,76,2011,1,3,16,0
1,0,1,1,-1.3336606929832286,-1.4502923646634276,-1.656943060424129,0.2697036765917794,157,2011,1,3,17,0
1,0,1,1,-1.3336606929832286,-1.271514666886455,-1.553015369647691,-0.7101641518344863,157,2011,1,3,18,0
1,0,1,1,-1.54415371996957,-1.271514666886455,-0.773557688824404,-1.5677536666631693,110,2011,1,3,19,0
1,0,1,1,-1.54415371996957,-1.4502923646634276,-0.773557688824404,-0.7101641518344863,52,2011,1,3,20,0
1,0,1,1,-1.6494002334627407,-1.6290700624404004,0.10982768277532123,-0.4656075246393211,52,2011,1,3,21,0
1,0,1,1,-1.859893260449082,-1.897531621808462,0.3696469097164169,-0.4656075246393211,20,2011,1,3,22,0
1,0,1,1,-1.6494002334627407,-1.5399762262545162,-0.35784692571865095,-0.7101641518344863,12,2011,1,3,23,0
1,0,1,1,-1.7546467469559115,-1.718753924031489,-0.35784692571865095,-0.7101641518344863,5,2011,1,4,0,1
1,0,1,1,-1.7546467469559115,-1.718753924031489,-0.14999154416577443,-0.7101641518344863,2,2011,1,4,1,1
1,0,1,1,-1.859893260449082,-1.897531621808462,0.0578638373871021,-0.4656075246393211,1,2011,1,4,2,1
1,0,1,1,-1.859893260449082,-1.718753924031489,0.0578638373871021,-0.8324424654320689,2,2011,1,4,4,1
1,0,1,1,-1.9651397739422527,-1.897531621808462,0.31768306432819776,-0.7101641518344863,4,2011,1,4,5,1
1,0,1,1,-1.9651397739422527,-1.897531621808462,0.6294661366575125,-0.7101641518344863,36,2011,1,4,6,1
1,0,1,1,-1.9651397739422527,-1.897531621808462,0.6294661366575125,-0.4656075246393211,94,2011,1,4,7,1
1,0,1,1,-1.859893260449082,-1.897531621808462,0.3696469097164169,-0.22023023762135344,179,2011,1,4,8,1
1,0,1,1,-1.7546467469559115,-1.897531621808462,0.10982768277532123,0.2697036765917794,100,2011,1,4,9,1
1,0,1,2,-1.7546467469559115,-1.9866254579943459,0.3696469097164169,1.1272931914204625,42,2011,1,4,10,1
1,0,1,1,-1.4389072064763992,-1.5399762262545162,-0.5657023072715275,0.8819159044024949,57,2011,1,4,11,1
1,0,1,1,-1.4389072064763992,-1.4502923646634276,-0.5657023072715275,-0.22023023762135344,78,2011,1,4,12,1
1,0,1,1,-1.3336606929832286,-1.4502923646634276,-0.3058830803304318,0.024326389573811554,97,2011,1,4,13,1
1,0,1,1,-1.2284141794900578,-1.271514666886455,-0.5137384618833083,0.2697036765917794,63,2011,1,4,14,1
1,0,1,1,-1.1231676659968872,-1.182420830700571,-0.5137384618833083,0.5142603037869447,65,2011,1,4,15,1
1,0,1,1,-1.0179211525037164,-1.0927369691094824,-0.6696299980479657,0.5142603037869447,83,2011,1,4,16,1
1,0,1,1,-1.1231676659968872,-1.182420830700571,-0.7215938434361848,0.2697036765917794,212,2011,1,4,17,1
1,0,1,1,-1.2284141794900578,-1.271514666886455,-0.7215938434361848,0.024326389573811554,182,2011,1,4,18,1
1,0,1,1,-1.3336606929832286,-1.271514666886455,-0.7215938434361848,-0.7101641518344863,112,2011,1,4,19,1
1,0,1,1,-1.3336606929832286,-1.271514666886455,-0.7215938434361848,-0.7101641518344863,54,2011,1,4,20,1
1,0,1,1,-1.4389072064763992,-1.182420830700571,0.10982768277532123,-1.5677536666631693,48,2011,1,4,21,1
1,0,1,1,-1.4389072064763992,-1.271514666886455,0.10982768277532123,-0.8324424654320689,35,2011,1,4,22,1
1,0,1,1,-1.54415371996957,-1.4502923646634276,0.3696469097164169,-0.8324424654320689,11,2011,1,4,23,1
1,0,1,1,-1.54415371996957,-1.271514666886455,0.10982768277532123,-1.5677536666631693,6,2011,1,5,0,2
1,0,1,1,-1.7546467469559115,-1.6290700624404004,0.6294661366575125,-0.8324424654320689,6,2011,1,5,1,2
1,0,1,1,-1.7546467469559115,-1.6290700624404004,0.6294661366575125,-0.8324424654320689,2,2011,1,5,2,2
1,0,1,1,-1.3336606929832286,-1.4502923646634276,-0.7215938434361848,0.2697036765917794,2,2011,1,5,4,2
1,0,1,1,-1.4389072064763992,-1.4502923646634276,-0.773557688824404,-0.22023023762135344,3,2011,1,5,5,2
1,0,1,1,-1.54415371996957,-1.6290700624404004,-0.773557688824404,0.2697036765917794,33,2011,1,5,6,2
1,0,1,1,-1.6494002334627407,-1.718753924031489,-0.9814130703772805,0.024326389573811554,88,2011,1,5,7,2
1,0,1,1,-1.54415371996957,-1.718753924031489,-1.1373046065419379,0.8819159044024949,195,2011,1,5,8,2
1,0,1,1,-1.4389072064763992,-1.6290700624404004,-1.2931961427065952,1.1272931914204625,115,2011,1,5,9,2
1,0,1,1,-1.4389072064763992,-1.6290700624404004,-1.2931961427065952,1.1272931914204625,57,2011,1,5,10,2
1,0,1,1,-1.2284141794900578,-1.4502923646634276,-1.5010515242594717,1.1272931914204625,46,2011,1,5,11,2
1,0,1,1,-1.2284141794900578,-1.4502923646634276,-1.5010515242594717,1.1272931914204625,79,2011,1,5,12,2
1,0,1,1,-1.1231676659968872,-1.271514666886455,-1.656943060424129,0.8819159044024949,71,2011,1,5,13,2
1,0,1,1,-1.0179211525037164,-1.0927369691094824,-1.7608707512005675,0.024326389573811554,62,2011,1,5,14,2
1,0,1,1,-1.0179211525037164,-1.0927369691094824,-1.7608707512005675,0.024326389573811554,62,2011,1,5,15,2
1,0,1,1,-1.0179211525037164,-0.9139592713325096,-1.7608707512005675,-0.8324424654320689,89,2011,1,5,16,2
1,0,1,1,-1.3336606929832286,-1.4502923646634276,-1.241232297318376,0.024326389573811554,190,2011,1,5,17,2
1,0,1,1,-1.3336606929832286,-1.3611985284775436,-1.241232297318376,-0.4656075246393211,169,2011,1,5,18,2
1,0,1,1,-1.3336606929832286,-1.271514666886455,-1.241232297318376,-0.7101641518344863,132,2011,1,5,19,2
1,0,1,1,-1.4389072064763992,-1.4502923646634276,-0.773557688824404,-0.22023023762135344,89,2011,1,5,20,2
